#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/category-deps/pyproject.toml tests/_data/infiles/pipenv/category-deps ; 14 ; 0:01.54 ; 1.54 ; 0 ; 38352 ; 99% ; 7697 ; 7697 ; 0.10 ; 1.43 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/default-and-dev/pyproject.toml tests/_data/infiles/pipenv/default-and-dev ; 16 ; 0:01.53 ; 1.53 ; 0 ; 38500 ; 99% ; 7695 ; 7695 ; 0.12 ; 1.40 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/editable-self/pyproject.toml tests/_data/infiles/pipenv/editable-self ; 19 ; 0:01.35 ; 1.35 ; 0 ; 38320 ; 99% ; 7695 ; 7695 ; 0.13 ; 1.22 ; 0 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/local/pyproject.toml tests/_data/infiles/pipenv/local ; 21 ; 0:01.46 ; 1.46 ; 0 ; 38496 ; 99% ; 7694 ; 7694 ; 0.13 ; 1.32 ; 0 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/no-deps/pyproject.toml tests/_data/infiles/pipenv/no-deps ; 37 ; 0:01.50 ; 1.50 ; 0 ; 39160 ; 99% ; 7895 ; 7895 ; 0.13 ; 1.36 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/private-packages/pyproject.toml tests/_data/infiles/pipenv/private-packages ; 40 ; 0:01.48 ; 1.48 ; 0 ; 38452 ; 99% ; 7698 ; 7698 ; 0.13 ; 1.33 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-extras/pyproject.toml tests/_data/infiles/pipenv/with-extras ; 22 ; 0:01.74 ; 1.74 ; 0 ; 38700 ; 99% ; 7747 ; 7747 ; 0.12 ; 1.62 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-urls/pyproject.toml tests/_data/infiles/pipenv/with-urls ; 151 ; 0:01.69 ; 1.69 ; 0 ; 38476 ; 98% ; 7708 ; 7708 ; 0.12 ; 1.54 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock11 ; 142 ; 0:01.75 ; 1.75 ; 0 ; 38264 ; 99% ; 7688 ; 7688 ; 0.09 ; 1.64 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock20 ; 489 ; 0:01.90 ; 1.90 ; 0 ; 38320 ; 91% ; 7687 ; 7687 ; 0.14 ; 1.59 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock10 ; 105 ; 0:01.69 ; 1.69 ; 0 ; 38392 ; 99% ; 7680 ; 7680 ; 0.17 ; 1.51 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock11 ; 14 ; 0:01.45 ; 1.45 ; 0 ; 38284 ; 99% ; 7684 ; 7684 ; 0.13 ; 1.32 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock20 ; 31 ; 0:01.46 ; 1.46 ; 0 ; 38328 ; 99% ; 7680 ; 7680 ; 0.11 ; 1.34 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock10 ; 16 ; 0:01.66 ; 1.66 ; 0 ; 38376 ; 99% ; 7689 ; 7689 ; 0.16 ; 1.49 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock11 ; 10 ; 0:01.52 ; 1.52 ; 0 ; 38480 ; 99% ; 7689 ; 7689 ; 0.14 ; 1.38 ; 1 ; 0
